,parking,blind,lane,parkX,parkZ,stageX,stageZ,spd,gas,range,err] 83.1,40,82.9,14.6,0,0,9,51.2,80,-999,-999,10.9,0.66,18,-0.91
90.3,64.1,81.4,10.2,1,1,9,54.1,79.2,57.1,74.1,4.6,0.66,18,2.64
90.4,64.1,81.6,10.3,1,1,9,54.1,79.2,57.1,74.1,4.7,0.66,18,2.66
90.4,64,81.9,10.3,1,1,9,54.1,79.2,57.1,74.1,4.8,0.66,12,-3.12
90.5,64,82.1,10.3,1,1,9,54.1,79.2,57.1,74.1,4.9,0.66,13.5,-3.1
90.5,63.9,82.3,10.3,1,1,9,54.1,79.2,57.1,74.1,5,0.66,13.5,-3.08
90.6,63.8,82.6,10.2,1,1,9,54.1,79.2,57.1,74.1,5.1,0.66,13.5,-3.06
90.6,63.7,82.8,10.2,1,1,9,54.1,79.2,57.1,74.1,5.2,0.66,13.5,-3.04
90.7,63.5,83,10.2,1,1,9,54.1,79.2,57.1,74.1,5.4,0.66,13.5,-3.02
90.7,63.4,83.3,10.1,1,1,9,54.1,79.2,57.1,74.1,5.5,0.66,18,0
90.8,63.2,83.5,10.1,1,1,9,54.1,79.2,57.1,74.1,5.6,0.66,18,0.01
90.8,63.1,83.7,10,1,1,9,54.1,79.2,57.1,74.1,5.8,0.66,18,0
90.9,62.9,83.9,9.9,1,1,9,54.1,79.2,57.1,74.1,5.9,0.66,18,-0.01
90.9,62.7,84.2,9.9,1,1,9,54.1,79.2,57.1,74.1,6.1,0.66,18,-0.03
91,62.4,84.4,9.8,1,1,9,54.1,79.2,57.1,74.1,6.2,0.66,18,-0.05
91,62.2,84.6,9.7,1,1,9,54.1,79.2,57.1,74.1,6.4,0.66,18,-0.07
91.1,62,84.8,9.7,1,1,9,54.1,79.2,57.1,74.1,6.6,0.66,18,-0.1
91.1,61.7,85.1,9.6,1,1,9,54.1,79.2,57.1,74.1,6.7,0.66,18,-0.12
91.2,61.5,85.3,9.6,1,1,9,54.1,79.2,57.1,74.1,6.9,0.66,18,-0.14
91.2,61.2,85.5,9.5,1,1,9,54.1,79.2,57.1,74.1,7,0.66,18,-0.17
91.3,61,85.7,9.5,1,1,9,54.1,79.2,57.1,74.1,7.2,0.66,18,-0.19
91.3,60.7,86,9.4,1,1,9,54.1,79.2,57.1,74.1,7.3,0.66,18,-0.21
91.4,60.4,86.2,9.4,1,1,9,54.1,79.2,57.1,74.1,7.5,0.66,18,-0.23
91.4,60.1,86.5,9.4,0,0,-0.03,53.9,78.8,-999,-999,7.6,1,18,-0.29
